pratique,sous_pratique,annee,nombre_plaintes
Litiges et manquements,Garanties et sav,2013,4682.0
Litiges et manquements,Remboursement,2009,792.0
Régulation concurrentielle des marchés,Pratiques anticoncurrentielles et concentrations,2013,107.0
Sécurité du consommateur,Process,2009,406.0
Litiges et manquements,Execution de la prestation,2017,5850.0
Régulation concurrentielle des marchés,Transparence et relations inter-entreprises,2010,861.0
Protection du consommateur,Information generale  du consommateur et clauses abusives,2018,16590.0
Litiges et manquements,Contestation sur le contrat,2013,1487.0
Litiges et manquements,Résiliation et reconduction de contrat,2010,6472.0
Régulation concurrentielle des marchés,Pratiques anticoncurrentielles et concentrations,2009,139.0
Litiges et manquements,Livraison du bien,2009,1454.0
Litiges et manquements,Livraison du bien,2011,1002.0
Infration pénale hors DGCCRF,Escroquerie,2015,2430.0
Vie courante,Régles spécifiques au droit bancaire,2009,260.0
Vie courante,Régles spécifiques au droit bancaire,2017,148.0
Protection du consommateur,Services financiers banques assurances et credit,2009,1157.0
Vie courante,Divers,2012,142.0
Vie courante,Divers,2010,129.0
Régulation concurrentielle des marchés,Transparence et relations inter-entreprises,2011,954.0
Sécurité du consommateur,Sécurité des produits alimentaires,2015,1908.0
Protection du consommateur,Pratiques commerciales interdites et réglementées,2015,1834.0
Litiges et manquements,Livraison du bien,2017,3636.0
Sécurité du consommateur,Sécurité des produits non alimentaires,2009,823.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives  -  délit penal,2018,56.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives - délit civil,2011,30.0
Protection du consommateur,Services financiers banques assurances et credit,2012,705.0
Litiges et manquements,Execution de la prestation,2015,5635.0
Litiges et manquements,Paiement,2010,8380.0
Vie courante,Evocation à tort d'une règle ou d'un droit,2014,639.0
Vie courante,Evocation à tort d'une règle ou d'un droit,2015,436.0
Vie courante,Commande publique,2015,8.0
Litiges et manquements,Execution de la prestation,2009,14819.0
Régulation concurrentielle des marchés,Transparence et relations inter-entreprises,2012,954.0
Litiges et manquements,Contestation sur le contrat,2010,821.0
Protection du consommateur,Règles de loyauté,2018,2150.0
Vie courante,Régles spécifiques au droit immobilier,2011,496.0
Vie courante,Régles spécifiques au droit bancaire,2010,206.0
Litiges et manquements,Livraison du bien,2013,3537.0
Litiges et manquements,Garanties et sav,2009,8589.0
Vie courante,Divers,2014,1651.0
Sécurité du consommateur,Règles particulières de sécurité des produits non alimentaires,2010,184.0
Protection du consommateur,Services financiers banques assurances et credit,2010,923.0
Vie courante,Régles spécifiques au droit immobilier,2010,534.0
Protection du consommateur,Information generale  du consommateur et clauses abusives,2011,16183.0
Protection du consommateur,Règles particulières à certains contrats,2010,9072.0
Protection du consommateur,Services financiers banques assurances et credit,2018,331.0
Sécurité du consommateur,Sécurité des produits non alimentaires non réglementés (obligation générale de sécurité),2014,124.0
Régulation concurrentielle des marchés,Pratiques anticoncurrentielles et concentrations,2010,117.0
Sécurité du consommateur,Sécurité des produits non alimentaires non réglementés (obligation générale de sécurité),2015,99.0
Litiges et manquements,Recours,2013,1632.0
Litiges et manquements,Garanties et sav,2015,3590.0
Sécurité du consommateur,Sécurité des prestations de service (hors cafés/restaurants),2012,160.0
Vie courante,DGCCRF pratique,2017,77.0
Protection du consommateur,Pratiques commerciales interdites et réglementées,2009,2647.0
Régulation concurrentielle des marchés,Secteurs à réglementation particulière / prix et tarifs publics,2014,202.0
Protection du consommateur,Signes de qualité,2012,20.0
Protection du consommateur,Pratiques commerciales interdites et réglementées,2018,1741.0
Sécurité du consommateur,Sécurité des produits non alimentaires,2016,340.0
Litiges et manquements,Résiliation et reconduction de contrat,2011,6860.0
Sécurité du consommateur,Sécurité des prestations de service (hors cafés/restaurants),2015,95.0
Régulation concurrentielle des marchés,Pratiques anticoncurrentielles et concentrations,2011,114.0
Vie courante,Evocation à tort d'une règle ou d'un droit,2017,409.0
Régulation concurrentielle des marchés,Secteurs à réglementation particulière / prix et tarifs publics,2012,150.0
Sécurité du consommateur,Sécurité des prestations de service (hors cafés/restaurants),2009,174.0
Protection du consommateur,Signes de qualité,2017,61.0
Sécurité du consommateur,Sécurité des produits alimentaires,2009,2954.0
Régulation concurrentielle des marchés,Ventes soumises à autorisation/déclaration et ventes irrégulières,2017,331.0
Régulation concurrentielle des marchés,Ventes soumises à autorisation/déclaration et ventes irrégulières,2014,418.0
Litiges et manquements,Information du consommateur,2010,4603.0
Régulation concurrentielle des marchés,Ventes soumises à autorisation/déclaration et ventes irrégulières,2010,198.0
Sécurité du consommateur,Règles particulières de sécurité des produits non alimentaires,2015,147.0
Litiges et manquements,Information du consommateur,2014,3320.0
Vie courante,Protection des données et de la vie privée,2017,187.0
Régulation concurrentielle des marchés,Transparence et relations inter-entreprises,2013,765.0
Protection du consommateur,Signes de qualité,2011,31.0
Litiges et manquements,Garanties et sav,2016,3421.0
Protection du consommateur,Règles de loyauté,2013,4373.0
Sécurité du consommateur,Sécurité des produits alimentaires,2013,2480.0
Litiges et manquements,Execution de la prestation,2010,11170.0
Protection du consommateur,Information generale  du consommateur et clauses abusives,2010,17337.0
Protection du consommateur,Règles particulières à certains contrats,2009,10521.0
Litiges et manquements,Remboursement,2016,1162.0
Litiges et manquements,Garanties et sav,2014,4199.0
